PARENT_ORG_CODE,CHILD_ORG_CODE
"RESS","ACCO"
"HAFM","BBUI"
"DCMM","REMV"
"DPER","PERS"
"DCOM","AFPU"
"SPOL","NORA"
"FENG","ENGF"
"SPOL","SOWK"
"POLI","CEME"
"CMCC","ANAE"
"MVSF","CMED"
"DPER","RNUT"
"SCIF","CFBB"
"SOFM","BFAC"
"ORDS","DCLD"
"VESC","MACB"
"FSCI","NSQI"
"PROM","AVIA"
"FMDY","MDYF"
"CAOP","BURW"
"ISER","ISCA"
"ARTF","GSAH"
"VESC","TSET"
"PROM","BPRO"
"FSSL","POLP"
"UNIV","SUPP"
"ACAD","FENG"
"ACAD","FOAT"
"ACAD","FMVS"
"ACAD","FMDY"
"ACAD","FSSL"
"CORP","CASU"
"CORP","CCOR"
"UNIV","ACAD"
"UNIV","CORP"
"SUPP","DCAM"
"SUPP","DFIN"
"SUPP","DPER"
"SUPP","DRES"
"SUPP","DSEC"
"SUPP","DARG"
"SUPP","DEDU"
"SUPP","DSEH"
"SUPP","DRCO"
"SUPP","DSTM"
"DEST","ESOP"
"DRAA","SRAA"
"DARG","STSS"
"ACAD","FLAW"
"DCAM","CAMP"
"PROM","CPRO"
"PROM","HPRO"
"ACAD","FSOC"
"ACAD","FMED"
"SUPP","DEST"
"SUPP","DISR"
"SUPP","DCMM"
"DRCO","CAOP"
"CCOR","CINC"
"ACAD","FSCI"
"ASUB","BSSS"
"ENGF","FRPE"
"MEED","DCLS"
"MECH","EMRC"
"COBM","ETHM"
"SPOL","PHED"
"NBCS","SURN"
"FSSL","CEAS"
"HUMS","HART"
"FSSL","SPAI"
"CORP","NCCC"
"FENG","QUEN"
"FENG","MVEN"
"FMDY","SSCM"
"FMDY","SOCS"
"ANAT","OSCR"
"FENG","GSEN"
"ORDS","CHDH"
"FSCI","SCIF"
"FSCI","PHYS"
"RESS","CHUR"
"DARG","FSTA"
"DRAA","PGAD"
"ACHS","CPPD"
"FOAT","LANG"
"SUPP","DRAA"
"SUPP","DSTS"
"SUPP","DITS"
"SUPP","DLIB"
"DRCO","RESS"
"REMV","MAKP"
"DSTS","CARA"
"ORDS","DLPG"
"GEOG","PGEO"
"ISCA","PASP"
"DSPP","REGP"
"DSTM","VICH"
"GEOG","GLAC"
"CSSB","CARS"
"RESS","CHHS"
"READ","DOLP"
"FMVS","PHPH"
"RESS","HIAT"
"SUPP","DSPP"
"DARG","AQPO"
"DARG","BRDC"
"DARG","ITEL"
"DARG","TIME"
"DARG","VCAT"
"DEST","HAFM"
"DEST","SOFM"
"FMDY","CHSE"
"CHSE","TLHP"
"PERS","TSSP"
"DRAA","CRSM"
"FOAT","INOV"
"DSPP","CHAN"
"ARTF","THCL"
"SART","FATV"
"SART","THTR"
"ACAD","INST"
"INST","EBIN"
"INST","BRIG"
"INST","JGIN"
"INST","CABI"
