PERSON_ID,PUBLICATION_ID,PUBLISHED_NAME
6968,2295545,RI Richardson
6968,2360832,RI Richardson
13700,2381654,WC Gibson
11482,2385149,JD Blundy
8091,2429064,M Sharif
3232,2430304,MW Brown
4429,2453353,G Jones
15437,2503235,LF Donaldson
4429,2528148,G Jones
16055,2551187,F Hyland
7336,2580550,W Schwarzacher
17811,2584558,PH Mellor
32423,2633833,B Bezerra
24008,2694001,AM Barrett
29911,2703233,MG Thompson
25725,2759504,CR Melhuish
7694,2796177,SB Wotton
12340,2841427,FE Holmes
23895,2851466,J-M Kendall
35611,2896660,A Johansson
32659,2937702,K Birnie
5301,2954474,G Banting
22878,2954852,MR Munafo
21200,7231614,Alexander Bird
36681,8196913,D. Simeonidou
22206,8205067,Sarah J Lewis
10783,8692423,George Davey Smith
49504,8692423,John P. Kemp
7795,9079597,Helen F Heath
14825,9236012,Andrew Butterworth
22023,9538647,Xiangqian Li
23009,9615485,Miguel A Rico-Ramirez
18133,9889080,Angela A Piccini
14193,9906793,Dawei Han
45509,9906793,Nergui Nanding
21391,13087699,Jocelyn M Wishart
15605,13090132,E C Warburton
48304,16802544,J. Anaya Calvo
28238,16964840,Mark Siddall
23532,32363783,Charl F. J. Faul
17092,33633825,Varinder K Aggarwal
31971,34171024,E Dures
55843,35668775,Rosemary Hiscock
18053,36044808,WJ Lyons
34484,38821464,Michael Taylor
16308,40802176,Dudley Shallcross
25038,63817530,Stephan Lewandowsky
32190,64843228,N. J K Howden
7503,2336224,JR Sandy
16199,2358524,KNL Avery
189,2448896,AR Barr
2885,2460871,SM Trahar
8159,2493367,C MacLeod
9649,2525367,AI Houston
11289,2563469,EJ Hall
8448,2593544,H Mellor
16283,2597109,LS Slingsby
13973,2616224,AJK Williams
25725,2631490,CR Melhuish
5118,2658218,MJ Benton
9824,2663805,GC Allen
23179,2707907,GB Leckie
5291,2732664,MI Jones
16055,2804299,F Hyland
11682,2845212,Jonathan H Tobias
12124,2901834,R Porter
11845,2945435,Peter W Mathieson
14193,4462828,Dawei Han
11368,4475202,Russell J. Cox
5495,4489196,Richard B Sessions
9067,7167406,Josie Briscoe
15555,7267557,S. A. Davis
27687,8258307,Christie L Cabral
16715,8263458,Debbie A Lawlor
19612,9129563,Jack R Mellor
29655,9286452,Theo Tryfonas
17493,9351967,Helen Cramer
16283,9641852,Louisa S Slingsby
26908,9680394,WJ Browne
36323,9853976,Andrew Zammit-Mangion
28568,9897726,D. Di Maio
57105,35526436,Rutvica Andrijasevic
56247,36104697,Mark Schenk
32148,61192741,Thomas R Harcourt-Brown
12245,94038055,Kathleen M Gillespie
20984,2357055,Sam D Leary
28319,2357055,Nicholas J Timpson
17695,2481322,SA Rands
24156,2492789,KRG Austin
15408,2616452,AKJ Wyatt
605,2657604,NJ Cornwell
24234,2681747,Jimson Mathew
24670,2726793,M Hickman
20514,2735351,H-X Peng
33148,2735892,MC Eisler
12584,2746756,MA Jepson
10300,2776902,MD Szczelkun
23808,2808742,B Su
31106,2808742,T Sjostrom
27052,2825622,JM Squire
36046,2940365,S Baillie
19240,2986561,A Doufexi
25185,7124197,Laura Johnson
35257,7170442,Senay Sokullu
44383,8473071,Ross Woods
24792,8583143,Helen Baxter
8225,8710619,Graeme Henderson
36875,9034212,Michael P Grubb
29728,9318268,Dimitrios Siassakos
43848,9318268,Abi Smith
6111,9709596,Seth Love
16511,9881967,Jeremy P Horwood
36883,16935810,Georgios Zervas
24101,19866021,Frank Windmeijer
35793,32107573,John Downer
442,33857766,D Cherns
55602,37577036,Justin Dillon
4839,38459496,M. J. Pavier
57326,46470200,Jonathan Clayden
14746,85197977,Beth Tarleton
24429,2174470,Paolo Madeddu
24526,2174470,Costanza Emanueli
20514,2383218,H-X Peng
29655,2404159,T Tryfonas
23877,2657843,RP Jago
18429,2688521,Dhiraj Pradhan
24657,2717156,A Skordas
24396,2740521,Nello Cristianini
28275,2778619,L Dihoru.
12608,2800196,Gary L A Barker
29096,2815141,J.E Freer
5118,2835728,MJ Benton
14191,2846729,KA Robson Brown
14705,2861912,Peter J. Rogers
4283,2875723,SP Jones
976,2927688,B Foster
8346,2961987,M Bailey
22263,4471948,John A Cunningham
24429,6799709,P Madeddu
44383,8528689,Ross A Woods
31814,9072314,K M Kurian
47582,9146752,John M Mackay
20514,9617939,H. X. Peng
10783,21898739,George Davey Smith
7752,32108552,Trudy Goodenough
35824,32535774,Frederic A. L. Mauguiere
54981,34933800,Flavia De Luca
58950,58560347,Christy Burden
419,2129982,TF Carver
13209,2393493,CP Butts
4114,2497857,MR Wisnom
23953,2513229,FL Scarpa
18697,2518258,D. Robert
9361,2518258,A. R. Champneys
2702,2529010,R Smith
14825,2538251,A Butterworth
15872,2544925,SL Robertson
10783,2576530,G Davey Smith
1909,2601101,B M Lumb
31205,2610316,MJ Peel
16511,2612689,JP Horwood
15113,2622281,N Momigliano
13493,2628997,RJ Johnston
27792,2631651,JC Neal
8172,2645728,MMC Cini
9829,2807644,I-U Park
10684,2821624,Sarah J George
25641,2863282,Paul R Burton
34428,2863509,KV Cashman
30659,2877095,M Caleap
11132,2916054,PW May
34816,5301053,Amanda J Burridge
32137,5301053,A M Allen
23377,6983904,Anthony J. Short
37134,7247122,Fan Zhang
7679,8803373,Catherine R Coates
14248,8824629,James A C Ladyman
12674,9363685,Yoav Ben-Shlomo
16283,9641747,Louisa S Slingsby
17410,9874453,David Kessler
18133,9889420,Angela A Piccini
15735,19700765,Pauline Heslop
20570,22749652,Matthew P. Crump
17697,32664871,Stephen Bann
16730,33879794,Markus F. Damian
58056,34772922,Albert Power
29728,35866769,D. Siassakos
59448,47648550,Robert Julio Decker
29260,64219771,Angie Hibbert
55589,66157944,Lauren Marsh
8734,72574720,Martyn Tranter
11132,93467774,Paul May
94,2435617,MNR Ashfold
25481,2502210,M Jones
28641,2503581,G Feder
11755,2521651,AJ Doherty
19490,2523849,SG Burrow
20139,2529520,J Sieber
23900,2532130,WJ Larner
4839,2587018,MJ Pavier
16283,2597155,LS Slingsby
14193,2672023,D Han
18429,2678280,Dhiraj Pradhan
13126,2709710,Glynn Harrison
16511,2709710,Jeremy Horwood
23900,2715575,W Larner
28734,2770899,P Peacock
23786,2777632,GJ Richards
22750,2785303,P Fairclough
20555,2796498,S Tasker
18651,2813487,J Thompson
1261,2829869,S Harris
30103,2860664,JH Park
23819,2917471,AV Ramanan
36046,2940548,S Baillie
5001,4351989,Mark Wickham-Jones
22409,4598097,J. P. Reid
2188,6906161,A. Guy Orpen
26127,7018500,Elavazhagan Chakkarapani
17201,7132163,Anthony P. Davis
36883,8419730,Georgios Zervas
13547,8711306,Aidan M Dodson
22409,9034446,Jonathan P. Reid
46872,9387852,Ben Hicks
31204,9530876,Natasha Martin
16467,9864898,Demi Patsios
49321,12366725,Margit Dirscherl
27406,13817575,Anna M Marriott
9255,17022063,Adam J Crewe
44841,17082247,Melanie Griffiths
47261,26483067,Maaike A de Jong
53604,28652106,Albert Prieto-Marquez
62542,61094443,Tom A. Williams
62542,61094634,Tom A. Williams
10927,2263563,M Halonen-Akatwijuka
17728,2302436,JR Tooley
14492,2383001,M Thoresen
10441,2437139,PEJ Flewitt
16467,2446142,D Patsios
12401,2453557,T.A Novitz
9626,2478869,CN Canagarajah
18053,2479489,WJ Lyons
23900,2532231,Wendy Larner
11859,2538688,JC Ingram
30070,2544519,NW Roberts
8883,2570819,TJ Peters
26117,2606559,Tijl De Bie
14133,2618408,HF Jenkinson
2232,2628918,J Parkin
878,2640527,AM Emond
1152,2647153,Steven C Greer
16963,2750492,HR Whay
13657,2755498,Graciela Sala-Newby
17427,2815618,N Langer
9649,2839979,AI Houston
20795,2872012,PJ Valdes
32137,2907395,A.M Allen
23971,2921090,JB Conrey
4545,2934548,MA Alam
26908,2964681,William J Browne
33616,2964681,Lee B Meakin
31910,2967025,HBC Cappel-Porter
23009,2983714,MA Rico-Ramirez
20795,7229338,Paul J Valdes
10783,8290133,George Davey Smith
9844,8419088,Peter J Heard
46554,8930694,Michael R. F. Lee
37106,9028525,Simon T Shaw-Miller
24954,9146850,Joachim Gottsmann
36681,9898012,Dimitra Simeonidou
21650,9923443,Roland J Baddeley
21595,15752009,N Ozkan
10783,22218841,George Davey Smith
13131,33812671,John A A Macleod
23819,34223349,A V Ramanan
18053,34853171,WJ Lyons
25921,45303431,Joel Goldstein
15603,54463121,Jon Heron
11951,59206093,Karen Forbes
13986,59214569,Ali S Bienemann
27818,64938685,Nicholas Saunders
16751,72266562,Mary Louise Phillips
45873,81908628,J. Barreto
13496,89443557,Kate Northstone
67163,97549656,D.M. Mitchell
24245,2309469,JS Miners
14539,2411379,Andy R Ness
28319,2411379,Nicholas J Timpson
11959,2438687,M van den Berg
28083,2485555,L Bowen
28641,2503461,G Feder
10783,2507963,G Davey Smith
12258,2526949,K Potter
7673,2550031,J Speedy
29844,2623841,RMA Parker
23877,2640409,RP Jago
11781,2640409,AR Cooper
22998,2670516,N Boeger
16991,2685567,Nigel Smart
8995,2733625,SL Lightman
13126,2802782,Glynn Harrison
16012,2842195,MA Saleem
18105,2855705,K Michaelides
5759,2869806,MW Crossley
2728,2876585,KM Stanton
20992,2881643,JWS Bradshaw
22124,2894300,PJ Gates
10961,2901950,JM Robbins
8769,2906507,DG Cussans
17665,7033589,Christopher P Benton
27751,7123675,Nina Kazanina
43647,7139226,Antony N. Dodd
35921,7265275,Conor Houghton
43946,8198258,Anna Tzanakaki
36883,8198258,Georgios Zervas
46585,8589478,Helen Manchester
5357,8922346,Andrew J Pyle
30027,9539483,George McMahon
11285,9557171,A John Henderson
13493,9790447,Ron Johnston
10348,16190373,Jonathan Lawry
30937,16967564,Carlotta Reni
51981,17059093,Penny Johnes
48625,32358329,Nick J Taylor
23103,32364958,Avinash J. Patil
29506,32481122,Rachel Churchill
16715,34712968,Debbie Lawlor
14558,34854436,Andrew J. Hogg
57701,35946930,Gemma Moss
55602,37576792,Justin Dillon
20771,39658693,Andrew R L Medford
49130,87352583,Carl Henrik Ek
54847,94979770,Lei Zhang
24429,2367754,Paolo Madeddu
18573,2373959,S Audrey
21419,2374736,SL Childs
9109,2450315,MH Lowenberg
17935,2461397,SM Thomas
22324,2468706,I Manners
970,2504985,RS Forrest
21470,2515603,NJ Rooney
23877,2534833,RP Jago
9824,2575390,GC Allen
24018,2605005,V Wylde
17916,2612638,RJS Gooberman-Hill
8734,2692990,M Tranter
14539,2695646,Andy R Ness
29999,2695646,Laura D Howe
29281,2695646,Li Benfield
16216,2696033,RM Martin
9742,2727149,Colin M Dayan
20228,2733615,F Spiga
14736,2758593,PAJ Syrpis
2480,2779804,K Ridgwell
54178,2860538,Christopher C Butler
26907,2861575,AJ Ridgwell
14565,2908018,A.J Mulholland
36071,2935222,G Oikonomou
24221,2967384,Rebecca Gilbert
26325,2979305,Ken Oliphant
15454,5135287,Shah Ebrahim
33848,7128454,Risto A Kauppinen
94,7234155,Michael N. R. Ashfold
15698,7239236,Jeremy N. Harvey
25185,8190300,Laura Johnson
22324,8285181,Ian Manners
12240,8304738,Richard R Kerswell
34075,8585551,Joseph Amankwah-Amoah
25342,9490832,Clare Y England
33267,9646615,Joanna S Hockenhull
9621,10848267,David Gunnell
16410,13002726,Siobhan M. Mullan
23138,16277507,Carol J Joinson
31771,32205879,David P. Tew
27227,32384237,Peter Vickerman
16465,34017843,David Punter
12674,38069292,Yoav Ben-Shlomo
17657,52297324,Christophe Andrieu
63364,61192615,Jonathan Ives
18573,2358889,S Audrey
4429,2411058,G Jones
15164,2471323,M.E Viney
10497,2497446,AJ Bennett
29096,2516805,J.E Freer
18697,2519307,D Robert
13282,2622582,M Mendl
13875,2650762,DCJ Main
14493,2650762,E Paul
10783,2654360,G Davey Smith
5010,2680583,M J Miles
26583,2721577,SR Gray
18383,2731688,A Lopez Bernal
26801,2732025,P Verkade
32902,2732025,E Brown
4958,2736727,RSJ Sparks
740,2765653,JCC Day
22750,2785328,P Fairclough
31963,2790680,Heather L Buss
29898,2856656,Jonathan L du Bois
21604,2866932,LKR Marshall
22681,2867622,C.Y. Hu
21789,2942876,DJ Lunt
16763,2960426,CJ Hawkesworth
34227,2966293,DL Santos Ferreira
16500,2983319,ME Homer
5010,2983319,MJ Miles
12331,7031089,Keith J. Edwards
7106,7162438,M. J. Day
13209,7229062,Craig P. Butts
12147,8288371,S. Kearns
28319,8290615,Nicholas Timpson
26652,8307488,J. C. Rougier
28241,8328538,Beate Glaser
12664,8766187,David Murphy
23153,9119792,Penny Whiting
47764,9396508,Ben R. Davies
26622,9830563,Esther M Crawley
34296,9896101,Margaritis Voliotis
37098,11112548,Sally Jary
27617,16805569,Wuge H Briscoe
45459,19146976,Raffaele Santagati
14565,33863288,Adrian J. Mulholland
53401,34749469,F. Pappenberger
53401,34751742,Florian Pappenberger
55602,37576838,Justin Dillon
19780,62794463,Kate Tilling
18457,91245981,Andrei Sarua
16822,1561973,GH Nash
17675,2215902,MJ O'Mahony
17675,2451757,MJ O'Mahony
31959,2469614,AT Coles
18083,2519109,H Goldstein
12102,2527300,J Memmott
7125,2528223,F Cervantes
7106,2563723,MJ Day
21188,2584418,MJ Davis
6059,2598474,PJ Fleming
27227,2616542,P. Vickerman
28015,2624476,KT Tsaneva-Atanasova
21329,2751206,LR Clare
8925,2772685,PD Bates
16886,2818574,CE Truman
315,2867424,PM Broadfoot
32005,2914053,RM Freathy
14705,2957314,PJ Rogers
21258,4823491,Pamela Richards
34957,7019904,Xiaojun Wang
20995,7166811,M. E. Barbour
15151,7232497,Stephen Mann
25011,8233292,Dickon Young
24143,8284508,Robin B. Bedford
22238,8424826,Kirsten F Cater
10300,9053175,Mark D Szczelkun
7795,9078400,Helen F Heath
5116,9078400,Greg P Heath
7795,9080033,Helen F Heath
14397,9100271,Andrew Herman
25183,9100271,Rosey Mushens
14997,9717656,Ashley W Blom
8137,10846979,N A Williams
12245,16275436,Kathleen M Gillespie
21108,16932672,Philip C J Donoghue
9272,17006560,Pete S Blair
36671,17066955,Steven C Hunt
34498,18657527,C L Relton
45459,19146912,Raffaele Santagati
34974,19711699,Thilo Gross
51464,24764236,Hilary M Carey
17916,32143262,Rachael Gooberman-Hill
58167,34700032,Johanna Galloway
25641,48524300,Paul R. Burton
16012,53485143,Moin A Saleem
54504,56360786,Monique C M Welten
59801,63493876,Leon Danon
18637,2299378,TM Williams
7724,2359161,JD Wood
22805,2398791,RS Trask
21291,2427678,LB Nicholson
16308,2432549,DE Shallcross
17604,2449935,T Hodos
9109,2450458,MH Lowenberg
16902,2458820,Paula J Booth
23628,2476280,GE Fornes
16090,2479996,AJP Tometzki
13259,2645474,EAM Gale
27621,2695190,L. Picco
11542,2710913,JM Henley
16012,2723385,MA Saleem
5354,2747751,E Herring
16221,2779468,RJ Helyer
15735,2854712,P Heslop
14520,2866067,ID Gilchrist
58832,2877891,Mickey Tivers
5831,2926532,J Crosby
28407,2984630,K Krebs
31034,5127869,Richard W Morris
12604,8249873,Jane M Blazeby
31161,8249873,Natalie S Blencowe
21301,8379465,Alice Malpass
33546,8737242,Robert L Harniman
21650,9034659,Roland J Baddeley
46422,9039795,David Leech
9309,9049404,A J Rivers
5116,9078340,Greg P Heath
10954,9525630,Caroline A Williams
35362,9562280,Tamer Elshandidy
17201,10493892,Anthony P. Davis
43946,17045481,Anna Tzanakaki
8804,22231293,Susan M Ring
23460,32267531,S. J. Murray
22409,32345705,Jonathan P. Reid
37035,34202370,Merle M Patchett
34385,35786547,Kyle Taylor
20706,78947543,N. A. Alexander
5470,2432020,IC Cuthill
11974,2453087,TJ Cole
24536,2472495,MA Gibson
21329,2507411,LR Clare
1955,2539204,JP McGeehan
31214,2610493,AJ Sturdy
26583,2721569,SR Gray
24581,2733717,BL Conway-Campbell
19442,2775985,WT Hamilton
24102,2777265,EJ Rayfield
22878,2954052,MR Munafo
9255,7018697,Adam J Crewe
11985,7025135,Rosamund J Sutherland
36791,8188620,Davide Pisani
22802,8221800,Katrina Turner
16273,8241768,Margaret May
10783,9771921,George Davey Smith
48989,9843694,Madeleine J. Murtagh
48986,17822282,O. W. Butters
28241,22228428,Beate St Pourcain
13493,22906324,Ron Johnston
15185,25101495,Liz Lloyd
46769,26661493,Heath E. O'Brien
20771,39660856,Andrew R L Medford
24175,45213637,Judith Masson
53207,83333116,D. Sahin
8227,92016694,Gavin D'Costa
13126,2356362,G Harrison
10087,2379860,CB Allen
20971,2469552,A.M Seddon
27318,2528206,SG Davies
30223,2536452,TCS Rendall
17653,2567836,JD Booker
32005,2718280,Rachel M Freathy
13131,2727613,John A A Macleod
18383,2731549,A Lopez Bernal
5099,2747029,A Feest
410,2763115,Deborah A Carter
25354,2818480,S Hossain
31377,2820908,CA Flurey
17183,2832764,N.A Fox
17092,2897917,V.K Aggarwal
27406,2924358,AM Marriott
28312,2948701,KC Kemp
14705,2952899,Peter J Rogers
13103,2983882,David Lodge
14133,2986544,HF Jenkinson
16500,3021341,ME Homer
11519,4820363,David S Cowan
16324,5298666,Neil J Scolding
26583,5299488,Stephen Gray
25424,5299488,Damian Steer
36231,7156002,Tamsin T Badcoe
18990,8836525,Simon A Neild
26908,9166256,William J Browne
20601,9166256,Poppy T E Statham
28174,9287303,Y.-L. D. Ho
2973,9663853,Richard L Wall
19820,9842373,N. Welton
53246,10292931,Hannah V Thornton
14723,12368022,P. Weaver
25938,12368022,K. Hazra
10783,22406840,G. Davey Smith
36469,27316489,E. Lenguerrand
25924,48818888,Jane Wright
12604,53773871,Jane Blazeby
32389,62699021,K R Ingram
7738,2402724,AM Foster
19442,2412115,WT Hamilton
1719,2419474,RA Levitas
419,2435062,TF Carver
10350,2446642,M Hester
10155,2509412,K Papasouliotis
20514,2515915,H-X Peng
10675,2552504,RK Etherington
11289,2563582,EJ Hall
18610,2623370,MCG Stevens
28319,2671507,NJ Timpson
14393,2684217,Peter Flach
15496,2722975,JM Rossiter
16715,2723294,D Lawlor
27181,2730974,G Herrmann
7503,2745940,JR Sandy
27016,2777486,YH Zhang
18338,2813984,MS Dietz
17004,2967191,C Metcalfe
21188,2967191,MJ Davis
34768,2973239,Alison L Williams
22695,2982782,G Yu
27460,2983249,W Hollingworth
33029,2983249,F MacKichan
10897,7110765,Paddy J. Horner
14736,7126009,Philip A J Syrpis
27227,8241675,Peter Vickerman
33248,8399324,Victoria Jackson
2188,8520745,A. Guy Orpen
13547,8715138,Aidan M Dodson
46554,8930245,M. R. F. Lee
33586,8982622,Mateusz Bocian
5116,9079230,Greg P Heath
26425,9626194,Christopher J. Woods
28463,9654031,Hannah Christensen
16715,9886381,Debbie A Lawlor
34844,11113413,Phillippa Bailey
36977,12655252,Caroline Tee
10783,25262143,George Davey Smith
29999,31700964,Laura D Howe
9621,33654954,D Gunnell
34399,33654954,R Carroll
21611,34252303,Nikki Coghill
59624,47143410,Edward Holberton
60868,48522736,Sheelagh McGuinness
30097,85829742,Nazand Begikhani
16715,2308401,Debbie A Lawlor
21188,2383169,MJ Davis
5118,2411613,MJ Benton
27422,2444829,DN Wijedasa
9626,2483472,CN Canagarajah
1466,2484909,RE Hutton
1090,2495911,J Golding
10327,2536654,R A Brooker
31329,2645737,T Michel
10473,2677857,Neill Campbell
12333,2731951,CS Grierson
29924,2758748,R Oulton
12258,2765497,K. D. Potter
35063,2783174,X Yuan
28211,2805459,B Dhuime
29096,2814501,J.E Freer
14675,2831536,J Burn
27103,2907882,J.J Velthuis
33267,2909662,J Hockenhull
22409,2913324,J.P Reid
16715,2914010,D Lawlor
32257,2928960,C Bucciarelli-Ducci
25714,2938015,KM Seddon
10783,2975995,G Davey Smith
26303,4481931,J. Rademacker
12555,4599118,Ailsa M Cameron
35136,7140786,Diego G Miralles
26390,7252442,M. Carmen Galan
35921,7264820,Conor J Houghton
34428,8248740,Katharine V Cashman
14208,8516600,Robert A Bickers
16257,9166412,Ruth A Coates
31058,9434804,Rachael E H Miles
53748,16971602,Yang Zhang
49684,18668533,Foluke I Ipinyomi
16410,26817272,Siobhan Mullan
17697,32182101,Stephen Bann
53173,32188741,Frank De Vocht
15151,32365274,Stephen Mann
17896,32441547,Paul G. Lawrence
33256,34190435,Andrew D. Higginson
56085,39205963,Helen Fulton
15848,43508055,Jonathan A C Sterne
9668,56359379,Richard Evershed
22878,56453406,Marcus R. Munaf\00F2
23255,2272401,WW Mayol-Cuevas
3232,2430293,MW Brown
29565,2445041,CL Peoples
14546,2456519,MB Avison
18053,2479418,WJ Lyons
24402,2580347,L Zuccolo
28216,2624228,G Allegri
25745,2651912,JL O'Brien
17062,2651912,MJ Cryan
18123,2693981,RJ Piechocki
21329,2695927,LR Clare
19370,2743136,Simon J C Davies
24234,2767449,Jimson Mathew
23877,2775447,R.P Jago
21010,2850949,TA Cogan
14248,2852189,JAC Ladyman
34765,2908184,Thomas A A Oliver
14997,2946417,AW Blom
17916,2946417,RJS Gooberman-Hill
26328,2977976,Tom R Gaunt
23953,2978760,Fabrizio Scarpa
17811,2983633,PH Mellor
35630,4463751,A K Wills
36106,5154560,Luke T Mather
20999,7013461,Leroy A White
31161,8207762,Natalie S Blencowe
4545,8244810,M A Alam
27531,8288920,David M. Evans
16844,8301035,Patrick Gavin Kehoe
14605,8583788,Chris Salisbury
1968,8794050,John M McNamara
7679,8803346,Catherine R Coates
10300,9026994,Mark D Szczelkun
8091,13360563,Mohammed Sharif
65721,14476253,Yuiko Takebayashi
14581,33895925,A. P. Foster
21789,35568900,D. J. Lunt
57489,35732658,Claire M A Haworth
25291,35785387,A. J. Croxford
21483,88343255,M Naughton
12258,91677771,Kevin Potter
69281,96319285,Eugenia Piddini
11328,2330607,D Muir Wood
13331,2374938,GD Foster
13222,2405071,S Yu
2175,2476249,DC Offord
11859,2477045,JC Ingram
16290,2490602,M.J Hurcombe
7125,2528302,F Cervantes
970,2535382,RS Forrest
12713,2547100,JA Lane
26117,2562557,Bie Tijl De
30645,2598303,SG Khan
1909,2600060,B M Lumb
12034,2604483,AC Newby
204,2614184,MV Berry
18981,2625975,AD Hay
20155,2729987,ER Morgan
1467,2776154,L Huxley
19637,2790301,PD Wilcox
17376,2810437,NE Hussey
468,2916541,SM Burgess
8883,2931618,TJ Peters
17004,2967708,C Metcalfe
20316,2980528,C Mann
22622,5125972,Ian N M Day
28319,5125972,Nicholas Timpson
3232,7122067,Malcolm W Brown
36613,7140303,Theo J F Savvas
7106,7161694,M. J. Day
769,7234116,Richard N. Dixon
19780,8241253,Kate Tilling
29803,8241253,Abigail Fraser
22878,8400620,Marcus Munafo
8941,8982809,Matthew A Hoghton
28216,11291265,G. Allegri
18804,14481291,Adam H R Finn
20795,17017341,Paul J. Valdes
19991,17057806,W H Tremaine
25491,17138902,Marcus Jepson
47506,32074599,Ben R Simmons
57489,35729288,Claire M A Haworth
32257,59209946,Chiara Bucciarelli-Ducci
63267,59803646,Clare Clement
16891,63395739,Raimondo Ascione
55344,94288420,Ludovic Renson
14605,2360477,C Salisbury
5099,2385132,A Feest
26622,2408956,EM Crawley
7452,2435960,JA Squires
9649,2525946,AI Houston
20239,2558845,L Lucas
10639,2614643,L.J Bruce
24638,2622619,SM Jones
16991,2684825,Nigel Smart
19490,2745759,SG Burrow
21330,2772772,Ana P Abdala
19160,2792963,CD Coath
11419,2815242,CA Muessig
27442,2817871,LFM Horsten
26861,2838198,JA Vicary
12664,2844195,D Murphy
10452,2849378,D Sharp
35010,2863013,C Raistrick
33267,2909353,J Hockenhull
11714,2910021,Massimo Caputo
